央视频道,#genre#
羽毛球,http://114.254.35.75:18888/rtp/239.3.1.127:8001
羽毛球,http://101.17.192.171:8007/rtp/239.253.93.202:6380
羽毛球,http://106.113.149.200:2222/rtp/239.254.201.214:7264
武术世界,http://101.17.192.171:8007/rtp/239.253.93.46:6434
武术世界,http://106.113.149.200:2222/rtp/239.254.201.224:7229
武术世界,http://106.113.149.200:2222/rtp/239.254.200.100:6234
武术世界,http://101.17.192.171:8007/rtp/239.253.92.141:8064
先锋乒羽,http://101.17.192.171:8007/rtp/239.253.93.219:6397
先锋乒羽,http://106.113.149.200:2222/rtp/239.254.201.160:7172
风云足球,http://106.113.149.200:2222/rtp/239.254.201.222:7251
风云足球,http://101.17.192.171:8007/rtp/239.253.93.254:6432
风云足球,http://106.113.149.200:2222/rtp/239.254.200.97:6231
风云足球,http://101.17.192.171:8007/rtp/239.253.92.110:8061
天元围棋,http://106.113.149.200:2222/rtp/239.254.201.156:6270
天元围棋,http://101.17.192.171:8007/rtp/239.253.93.211:6389
央视台球,http://101.17.192.171:8007/rtp/239.253.93.231:6409
央视台球,http://106.113.149.200:2222/rtp/239.254.201.171:7176
高尔夫网球,http://106.113.149.200:2222/rtp/239.254.201.223:7252
高尔夫网球,http://101.17.192.171:8007/rtp/239.253.93.122:6465
高尔夫网球,http://106.113.149.200:2222/rtp/239.254.200.98:6232
高尔夫网球,http://101.17.192.171:8007/rtp/239.253.92.117:8062
财富天下,http://101.17.192.171:8007/rtp/239.253.93.247:6425
财富天下,http://114.254.35.75:18888/rtp/239.3.1.53:9136
财富天下,http://106.113.149.200:2222/rtp/239.254.200.124:6370
证券服务,http://101.17.192.171:8007/rtp/239.253.92.124:6569
东方财经,http://101.17.192.171:8007/rtp/239.253.93.239:6417
东方财经,http://106.113.149.200:2222/rtp/239.254.201.181:7214
家庭理财,http://101.17.192.171:8007/rtp/239.253.93.246:6424
家庭理财,http://106.113.149.200:2222/rtp/239.254.201.188:6366
点掌财经,http://101.17.192.171:8007/rtp/239.253.92.236:6448
中华特产,http://106.113.149.200:2222/rtp/239.254.201.184:6263
中华特产,http://101.17.192.171:8007/rtp/239.253.93.242:6420
中华美食,http://101.17.192.171:8007/rtp/239.253.93.248:6426
中华美食,http://106.113.149.200:2222/rtp/239.254.201.189:7171
中国交通,http://114.254.35.75:18888/rtp/239.3.1.188:8001
中国交通,http://106.113.149.200:2222/rtp/239.254.201.110:5181
中国交通,http://101.17.192.171:8007/rtp/239.253.93.189:6357
汽摩,http://106.113.149.200:2222/rtp/239.254.200.103:6252
汽摩,http://101.17.192.171:8007/rtp/239.253.92.46:6110
车迷,http://101.17.192.171:8007/rtp/239.253.93.221:6399
车迷,http://106.113.149.200:2222/rtp/239.254.201.162:6266
乐游,http://101.17.192.171:8007/rtp/239.253.93.224:6402
游戏风云,http://101.17.192.171:8007/rtp/239.253.93.222:6400
游戏风云,http://106.113.149.200:2222/rtp/239.254.201.163:6354
